record_id,phytoplasma,host_group,country,reference,family,species
539,16SrIV ,insect,Madang,Lu et al 2016,Flatidae,Taparella amata
540,16SrIV ,insect,Madang,Lu et al 2016,Flatidae,Colgar sp.
541,tested negative,insect,Madang,Lu et al 2016,Derbidae,species 1
542,tested negative,insect,Madang,Lu et al 2016,Cicadellidae,Paramesodes sp.
543,16SrX C,insect,Bristol,Davies et al 1992,Psyllidae,Cacopsylla pyricola
544,16SrIV ,insect,Ghana,Danyo 2011,Cixiidae,Myndus adiopodoumeensis
545,16SrIV ,insect,Ghana,Danyo 2011,Derbidae,Diostrombus 
546,16SrIV ,insect,India,Rajan 2011,Derbidae,Proutista moesta
547,16SrI B,insect,Mexico,Ebbert et al 2001,Cicadellidae,Dalbulus maidis
548,16SrI B,insect,Mexico,Ebbert et al 2001,Cicadellidae,Dalbulus elimatus
549,tested negative,insect,Mexico,Ebbert et al 2001,Cicadellidae,Dalbulus gelbus
550,16SrI B,insect,Mexico,Ebbert et al 2001,Cicadellidae,Dalbulus guevarai
551,16SrXII A,insect,Hungary,Palermo et al 2004,Cixiidae,Hyalesthes obsoletus
