record_id,phytoplasma,host_group,country,reference,family,species
2103,16SrII D,plant,Pakistan,Akhtar et al 2009,Pedaliaceae,Sesamum indicum
2104,16SrII ,plant,Oman,Al-Sakeiti et al 2005,Pedaliaceae,Sesamum indicum
2105,16SrI B,plant,Myanmar,Win et al 2010,Pedaliaceae,Sesamum indicum
2106,16SrII D,plant,Turkey,Cengiz et al 2014,Pedaliaceae,Sesamum indicum
2107,16SrIX C,plant,Turkey,Cengiz et al 2014,Pedaliaceae,Sesamum indicum
2108,16SrI ,plant,Japan,Tanaka et al 2000,Anacardiaceae,Rhus javanica
2109,16SrV ,plant,Japan,Kusunoki et al 2002,Rhamnaceae,Hovenia tomentella
2110,16SrV B,plant,Japan,Kusunoki et al 2002,Rhamnaceae,Ziziphus jujuba
2111,16SrIII ,plant,Colombia,Galvis et al 2007,Rubiaceae,Coffea arabica
2112,16SrI M,plant,Germany,Lee et al 2004b,Asteraceae,Callistephus chinensis
2113,16SrI M,plant,Lithuania,Lee et al 2004b,Asteraceae,Cirsium arvense
2114,16SrI M,plant,Lithuania,Lee et al 2004b,Iridaceae,Gladiolus sp.
2115,16SrI M,plant,Lithuania,Lee et al 2004b,Asparagaceae,Hyacinthus orientalis
2116,16SrI M,plant,Lithuania,Lee et al 2004b,Plumbaginaceae,Limonium sinuatum
2117,16SrI M,plant,Lithuania,Lee et al 2004b,Amaryllidaceae,Allium cepa
2118,16SrI M,plant,Lithuania,Lee et al 2004b,Fagaceae,Quercus robur
2119,16SrI M,plant,Lithuania,Lee et al 2004b,Caryophyllaceae,Saponaria of?cinalis
2120,16SrI M,plant,Lithuania,Lee et al 2004b,Solanaceae,Schizanthus pinnatus
2121,16SrI M,plant,Lithuania,Lee et al 2004b,Boraginaceae,Symphytun sp.
2122,16SrI M,plant,Lithuania,Lee et al 2004b,Caprifoliaceae,Valeriana officinalis
2123,16SrI N,plant,Taiwan,Lee et al 2004b,Convolvulaceae,Ipomoea obscura
2124,16SrI O,plant,Wisconsin,Lee et al 2002,Fabaceae,Glycine max
2125,16SrI A,plant,Wisconsin,Lee et al 2002,Fabaceae,Glycine max
2126,16SrIII P,plant,Virginia,Jomantiene et al 2002,Rosaceae,Fragaria x ananassa
2127,16SrI R,plant,Virginia,Jomantiene et al 2002,Rosaceae,Fragaria x ananassa
2128,16SrXII ,plant,Serbia,Martinovi? & Bjegovi? 1950,Solanaceae,Capsicum annuum
2129,16SrXII D,plant,China,Duduk et al 2010,Fabaceae,Sophora japonica
2130,16SrXII A,plant,China,Duduk et al 2010,Rosaceae,Prunus armeniaca
2131,16SrXII A,plant,China,Duduk et al 2010,Vitaceae,Vitis vinifera
2132,16SrXII A,plant,China,Duduk et al 2010,Rosaceae,Malus sp.
2133,16SrXII D,plant,China,Duduk et al 2010,Rosaceae,Malus sp.
2134,16SrV C,plant,Serbia,Duduk et al 2004,Vitaceae,Vitis vinifera
2135,16SrXII A,plant,Serbia,Duduk et al 2004,Vitaceae,Vitis vinifera
2136,16SrX B,plant,Serbia,Duduk et al 2004,Vitaceae,Vitis vinifera
2137,16SrXII A,plant,Serbia,Duduk et al 2006,Asteraceae,Chrysanthemum sp.
2138,16SrI A,plant,Serbia,Duduk et al 2009,Apiaceae,Daucus carota
2139,16SrI B,plant,Serbia,Duduk et al 2009,Apiaceae,Daucus carota
2140,16SrXIV C,plant,Serbia,Mitrovic et al 2015,Poaceae,Cynodon dactylon
2141,16SrXIV A,plant,Turkey,Caglar et al 2013,Poaceae,Cynodon dactylon
2142,16SrXIV B,plant,Iran,Salehi et al 2009b,Poaceae,Cynodon dactylon
2143,16SrXIV A,plant,Iran,Salehi et al 2009b,Poaceae,Cynodon dactylon
2144,16SrXIV ,plant,India,Rao et al 2010,Poaceae,Digitaria sanguinalis
2145,16SrXIV ,plant,India,Rao et al 2010,Poaceae,Oplismenus burmannii
2146,16SrXIV ,plant,Myanmar,Win et al 2013a,Poaceae,Cynodon dactylon
2147,16SrXIV ,plant,Myanmar,Win & Jung 2012,Poaceae,Chrysopogon acicalatus
2148,16SrXIV ,plant,China,unpublished,Poaceae,Cynodon dactylon
2149,16SrXIV ,plant,Taiwan,Chen et al 1972,Poaceae,Cynodon dactylon
2150,16SrXIV ,plant,Taiwan,Chen et al 1972,Poaceae,Brachiaria distachya
2151,16SrXIV ,plant,Cuba,Arocha et al 2005b,Poaceae,Cynodon dactylon
2152,16SrXIV ,plant,Kenya,Obura et al 2010,Poaceae,Cynodon dactylon
2153,16SrV B,plant,Shaanxi,Li et al 2012a,Asteraceae,Cichorium intybus
2154,16SrV B,plant,China,Li et al 2012b,Fabaceae,Medicago sativa
2155,16SrV B,plant,China,Gao et al 2015,Theaceae,Camellia japonica
2156,16SrXII A,plant,Croatia,Katanic et al 2016,Ulmaceae,Ulmus glabra
2157,16SrV ,plant,Croatia,Katanic et al 2016,Ulmaceae,Ulmus laevis
2158,16SrV ,plant,Croatia,Katanic et al 2016,Ulmaceae,Ulmus minor
2159,16SrI B,plant,Croatia,Katanic et al 2016,Ulmaceae,Ulmus minor
2160,16SrI S,plant,Mexico,Santos-Cervantes et al 2010,Solanaceae,Solanum tuberosum
2161,16SrII C,plant,Mexico,Santos-Cervantes et al 2010,Solanaceae,Solanum tuberosum
2162,16SrXIII D,plant,Mexico,Santos-Cervantes et al 2010,Solanaceae,Solanum tuberosum
2163,16SrI T,plant,Mexico,Santos-Cervantes et al 2010,Solanaceae,Solanum tuberosum
2164,16SrIII S,plant,Mexico,Santos-Cervantes et al 2010,Solanaceae,Solanum tuberosum
2165,16SrI V,plant,Mexico,Santos-Cervantes et al 2010,Solanaceae,Solanum tuberosum
2166,16SrI U,plant,Mexico,Santos-Cervantes et al 2010,Solanaceae,Solanum tuberosum
2167,16SrI ,plant,Australia,Harding & Teakle 1985,Solanaceae,Solanum tuberosum
2168,16SrXIII F,plant,Argentina,Fernandez et al 2015,Rosaceae,Fragaria x ananassa
2169,16SrXIII E,plant,Brazil,Siqueira Alves et al 2016,Acanthaceae,Thunbergia erecta
2170,16SrXII A,plant,Russia,Girsova et al 2008,Solanaceae,Solanum tuberosum
2171,16SrI A,plant,Russia,Girsova et al 2008,Solanaceae,Solanum tuberosum
2172,16SrI B,plant,Russia,Girsova et al 2008,Solanaceae,Solanum tuberosum
2173,16SrXII A,plant,Australia,Liefting et al 2009,Solanaceae,Solanum tuberosum
2174,16SrI W,plant,Canada,Arocha-Rosete et al 2011b,Rosaceae,Prunus sp.
2175,16SrIII C,plant,United States,Davis et al 2013,Rosaceae,Prunus persicae
2176,16SrIII D,plant,United States,Davis et al 2013,Rosaceae,Prunus persicae
2177,16SrIII E,plant,United States,Davis et al 2013,Rosaceae,Prunus persicae
2178,16SrIII F,plant,United States,Davis et al 2013,Rosaceae,Prunus persicae
2179,16SrIII H,plant,United States,Davis et al 2013,Rosaceae,Prunus persicae
2180,16SrIII G,plant,United States,Davis et al 2013,Rosaceae,Prunus persicae
2181,16SrIII M,plant,United States,Davis et al 2013,Rosaceae,Prunus persicae
2182,16SrIII N,plant,United States,Davis et al 2013,Rosaceae,Prunus persicae
2183,16SrIII T,plant,Lithuania,Valiunas et al 2009,Rosaceae,Prunus avium
2184,16SrIII T,plant,Lithuania,Valiunas et al 2010,Rosaceae,Prunus cerasus
2185,16SrI A,plant,Lithuania,Valiunas et al 2010,Rosaceae,Prunus avium
2186,16SrI B,plant,Lithuania,Valiunas et al 2010,Rosaceae,Prunus avium
2187,16SrIII U,plant,Virginia,Jomantiene et al 2002,Rosaceae,Fragaria x ananassa
2188,16SrIII V,plant,Brazil,Davis et al 2012,Passifloraceae,Passiflora edulis
2189,16SrVI D,plant,Bangladesh,Siddique et al 2001,Solanaceae,Solanum melongena
2190,16SrVI D,plant,Bangladesh,Siddique et al 2001,Apocynaceae,Catharanthus roseus
2191,16SrVI E,plant,Italy,Faggioli et al 2004,Asteraceae,Centaurea solstitialis
2192,16SrVI F,plant,Sudan,Martini et al 2007,Apocynaceae,Catharanthus roseus
2193,16SrVI H,plant,India,Samad et al 2008,Portulacaceae,Portulaca grandiflora
2194,16SrVI I,plant,Brazil,Davis et al 2012,Passifloraceae,Passiflora edulis
2195,16SrIX A,plant,United States,Lee et al 2012,Fabaceae,Cajanus cajan
2196,16SrX E,plant,Germany,Seemuller et al 1994,Rhamnaceae,Rhumnus frangula
2197,16SrXI A,plant,Thailand,Jung et al 2003c,Poaceae,Oryza sativa
2198,16SrXII C,plant,Australia,Padovan et al 1995,Vitaceae,Vitis vinifera
2199,16SrXII F,plant,Italy,Quaglino et al 2009,Vitaceae,Vitis vinifera
2200,16SrXII G,plant,Italy,Quaglino et al 2009,Vitaceae,Vitis vinifera
2201,16SrXII H,plant,Italy,Martini et al 2012b,Convolvulaceae,Convolvulus arvensis
2202,16SrXIII A,plant,United States,Gundersen et al 1994,Apocynaceae,Catharanthus roseus
2203,16SrXIII B,plant,United States,Jomantiene et al 1998,Rosaceae,Fragaria x ananassa
2204,16SrXV B,plant,Costa Rica,Villalobos et al 2011,Malvaceae,Guazuma ulmifolia
2205,16SrXVI A,plant,Cuba,Arocha et al 2005c,Poaceae,Saccharum of?cinarum
2206,16SrXVI A,plant,Cuba,Arocha et al 2005c,Poaceae,Cynodon dactylon
2207,16SrXVI A,plant,Cuba,Arocha et al 2005c,Asteraceae,Conyza canadensis
2208,16SrXVI A,plant,Cuba,Arocha et al 2005c,Poaceae,Sorghum halepense
2209,16SrXVI A,plant,Cuba,Arocha et al 2005c,Fabaceae,Macroptilium lathyroides
2210,16SrXVII A,plant,Cuba,Arocha et al 2005c,Caricaceae,Carica papaya
2211,16SrXXII A,plant,Mozambique,Harrison et al 2014,Arecaceae,Cocos nucifera
2212,16SrXXII B,plant,Mozambique,Harrison et al 2014,Arecaceae,Cocos nucifera
2213,16SrXXIII A,plant,Victoria,Wei et al 2007,Vitaceae,Vitis vinifera
2214,16SrXXIV A,plant,Australia,Constable et al 2002,Vitaceae,Vitis vinifera
2215,16SrXXIV A,plant,Australia,Wei et al 2007,Poaceae,Sorghum stipoideum
2216,16SrXXIV A,plant,Australia,Wei et al 2007,Poaceae,Whiteochloa cymbiformis
2217,16SrXXIV A,plant,Australia,Wei et al 2007,Poaceae,Dactyloctenium aegyptium
2218,16SrXXIV A,plant,Australia,Wei et al 2007,Poaceae,Cynodon dactylon
2219,16SrXXV A,plant,Australia,Wei et al 2007,Myrtaceae,Leptospermum brachyandrum
2220,16SrXXVI A,plant,Mauritius,Wei et al 2007,Poaceae,Saccharum officinarum
2221,16SrXXVII A,plant,Mauritius,Wei et al 2007,Poaceae,Saccharum officinarum
2222,16SrXXVIII A,plant,Cuba,Wei et al 2007,Poaceae,Saccharum officinarum
2223,16SrXXIX A,plant,Oman,Al-Saady et al 2008,Fabaceae,Cassia italica
2224,16SrXXXII A,plant,Madagascar,Nejat et al 2013,Apocynaceae,Catharanthus roseus
2225,16SrXXXII B,plant,Malaysia,Nejat et al 2009,Arecaceae,Cocos nucifera
2226,16SrXXXII C,plant,Malaysia,Nejat et al 2009,Arecaceae,Elaeis guineensis
2227,16SrI ,plant,United States,Stoepler & Wolf 2014,Ulmaceae,Ulmus americana
2228,16SrI ,plant,United States,Stoepler & Wolf 2014,Platanaceae,Platanus occidentalis
2229,16SrI ,plant,United States,Stoepler & Wolf 2014,Rosaceae,Prunus serotina
2230,16SrI ,plant,United States,Stoepler & Wolf 2014,Asteraceae,Taraxacum sp.
2231,16SrI ,plant,United States,Stoepler & Wolf 2014,Fabaceae,Trifolium pratense
2232,16SrI ,plant,United States,Stoepler & Wolf 2014,Fabaceae,Trifolium repens
2233,16SrI ,plant,United States,Stoepler & Wolf 2014,Fabaceae,Lespedeza sp.
2234,16SrIII J,plant,Chile,Fiore et al 2015,Vitaceae,Vitis vinifera
2235,16SrV A,plant,Chile,Fiore et al 2015,Vitaceae,Vitis vinifera
2236,16SrVII A,plant,Chile,Longone et al 2011,Fabaceae,Galega officinalis
2237,16SrI B,plant,Chile,Longone et al 2011,Convolvulaceae,Convolvulus arvensis
2238,16SrVII A,plant,Chile,Longone et al 2011,Convolvulaceae,Convolvulus arvensis
2239,16SrXII A,plant,Chile,Longone et al 2011,Convolvulaceae,Convolvulus arvensis
2240,16SrI B,plant,Chile,Longone et al 2011,Polygonaceae,Polygonum aviculare
2241,16SrVII A,plant,Chile,Longone et al 2011,Polygonaceae,Polygonum aviculare
2242,16SrXV A,plant,Peru,unknown,Vitaceae,Vitis vinifera
2243,16SrI A,plant,Australia,Streten et al 2005,Amaranthaceae,Amaranthus sp.
2244,16SrI A,plant,Australia,Streten et al 2005,Apocynaceae,Araujia sericifera
2245,16SrI A,plant,Australia,Streten et al 2005,Cupressaceae,Callitris baileyi
2246,16SrI A,plant,Australia,Streten et al 2005,Amaranthaceae,Chenopodium carinatum
2247,16SrI A,plant,Australia,Streten et al 2005,Asteraceae,Conzya sp.
2248,16SrI A,plant,Australia,Streten et al 2005,Solanaceae,Datura stramonium
2249,16SrII D,plant,Australia,Streten et al 2005,Scrophulariaceae,Eremophila sp.
2250,16SrI A,plant,Australia,Streten et al 2005,Santalaceae,Exocarpus cupressiformis
2251,16SrI A,plant,Australia,Streten et al 2005,Apocynaceae,Gomphocarpus physocarpus
2252,16SrI A,plant,Australia,Streten et al 2005,Malvaceae,Hibiscus trionum
2253,16SrI A,plant,Australia,Streten et al 2005,Fabaceae,Jacksonia scoparia
2254,16SrI A,plant,Australia,Streten et al 2005,Fabaceae,Medicago polymorpha
2255,16SrI A,plant,Australia,Streten et al 2005,Plantaginaceae,Plantago lanceolata
2256,16SrI A,plant,Australia,Streten et al 2005,Solanaceae,Solanum nigrum
2257,16SrI A,plant,Australia,Streten et al 2005,Fabaceae,Trifolium sp.
2258,16SrXII B,plant,Australia,Streten et al 2005,Santalaceae,Exocarpus cupressiformis
2259,16SrXII B,plant,Australia,Streten et al 2005,Apocynaceae,Gomphocarpus physocarpus
2260,16SrXII B,plant,Australia,Streten et al 2005,Fabaceae,Melilotus sp.
2261,16SrXII B,plant,Australia,Streten et al 2005,Fabaceae,Jacksonia scoparia
2262,16SrXII B,plant,Australia,Streten et al 2005,Fabaceae,Medicago polymorpha
2263,16SrXII B,plant,Australia,Streten et al 2005,Fabaceae,Trifolium sp.
2264,16SrII D,plant,Australia,Padovan & Gibb 2001,Nyctaginaceae,Boerhavia sp.
2265,16SrII D,plant,Australia,Davis et al 1997,Apocynaceae,Catharanthus roseus
2266,16SrII D,plant,Australia,Tran-Nguyen et al 2000,Poaceae,Cenchrus ciliaris
2267,16SrII E,plant,Australia,Tran-Nguyen et al 2003,Asteraceae,Cichorium intybus
2268,16SrII D,plant,Australia,Gowanlock et al 1998,Orchidaceae,Dactylorhiza majalis
2269,16SrII D,plant,Australia,Gibb et al 2003,Apiaceae,Daucus carota
2270,16SrII D,plant,Australia,Tran-Nguyen et al 2000,Poaceae,Eragrostis falcata
2271,16SrII D,plant,Australia,Tran-Nguyen et al 2000,Poaceae,Eriachne obtusa
2272,16SrII D,plant,Australia,Tran-Nguyen et al 2000,Poaceae,Saccharum sp.
2273,16SrII D,plant,Australia,Davis et al 1997,Orchidaceae,Sarochilus hartmanii
2274,16SrII D,plant,Australia,Davis et al 2003,Asteraceae,Zinnia elegans
2275,16SrII D,plant,Australia,Padovan & Gibb 2001,Fabaceae,Aphyllodium sp.
2276,16SrII D,plant,Australia,Padovan & Gibb 2001,Fabaceae,Cajanus marmoratus
2277,16SrII D,plant,Australia,Davis et al 2003,Asteraceae,Cyanthillium cinereum
2278,16SrII D,plant,Australia,Padovan & Gibb 2001,Fabaceae,Desmodium sp.
2279,16SrII D,plant,Australia,Padovan & Gibb 2001,Fabaceae,Indigofera sp.
2280,16SrII D,plant,Australia,Davis et al 2003,Convolvulaceae,Ipomoea sp.
2281,16SrII D,plant,Australia,Padovan & Gibb 2001,Fabaceae,Macroptilium gracile
2282,16SrII D,plant,Australia,Padovan & Gibb 2001,Solanaceae,Nicotiana tabacum
2283,16SrII D,plant,Australia,Davis et al 2003,Fabaceae,Pachyrhizus erosus
2284,16SrII D,plant,Australia,Padovan & Gibb 2001,Solanaceae,Physalis minima
2285,16SrII D,plant,Australia,Padovan & Gibb 2001,Fabaceae,Senna obtusifolia
2286,16SrII D,plant,Australia,Padovan & Gibb 2001,Asteraceae,Tridax procumbens
2287,16SrI ,plant,Australia,Constable et al 1998,Vitaceae,Vitis vinifera
2288,16SrII ,plant,Australia,Davis et al 2003,Lecythidaceae,Planchonia careya
2289,16SrII ,plant,Australia,Schneider et al 1999,Fabaceae,Arachis pintoii
2290,16SrII ,plant,Australia,Davis et al 2003,Fabaceae,Desmodium tri?orum
2291,16SrII ,plant,Australia,Davis et al 2003,Aizoaceae,Sesuvium portulacastrum
2292,16SrII ,plant,Australia,Schneider et al 1999,Malvaceae,Waltheria indica
2293,16SrIII ,plant,Australia,Davis et al 2003,Myrtaceae,Melaleuca sp.
2294,16SrX ,plant,Australia,Gibb et al 2003,Casuarinaceae,Allocasuarina muelleriana
2295,16SrXII B,plant,Australia,Davis et al 2003,Apocynaceae,Catharanthus roseus
2296,16SrXII B,plant,Australia,Streten & Gibb 2005,Fabaceae,Phaseolus aureus
2297,16SrXII B,plant,Australia,Bayliss et al 2005,Paulowniaceae,Paulownia sp.
2298,16SrXII B,plant,Australia,Tran-Nguyen et al 2000,Poaceae,Cenchrus setiger
2299,16SrXI ,plant,Australia,Blanche et al 2003,Poaceae,Chloris in?ate
2300,not characterized ,plant,Australia,Schneider et al 1999,Fabaceae,Arachis pintoii
2301,not characterized ,plant,Australia,Padovan & Gibb 2001,Convolvulaceae,Bonamia pannosa
2302,not characterized ,plant,Australia,Padovan & Gibb 2001,Caricaceae,Carica papaya
2303,not characterized ,plant,Australia,Padovan & Gibb 2001,Fabaceae,Indigofera linifolia
2304,not characterized ,plant,Australia,Tran-Nguyen et al 2000,Poaceae,Saccharum sp.
2305,not characterized ,plant,Australia,Davis et al 2003,Aizoaceae,Sesuvium portulacastrum
2306,not characterized ,plant,Australia,Schneider et al 1999,Fabaceae,Stylosanthes scabra
2307,16SrII ,plant,Australia,Tran-Nguyen et al 2000,Poaceae,Saccharum sp.
2308,not characterized ,plant,Australia,De La Rue et al 2001,Fabaceae,Stylosanthes scabra
2309,not characterized ,plant,Australia,Padovan & Gibb 2001,Asteraceae,Tridax procumbens
2310,16SrI B,plant,Mexico,Arratia-Castro et al 2014,Rutaceae,Citrus aurantifolia
2311,16SrI B,plant,Mexico,Arratia-Castro et al 2014,Rutaceae,Citrus latifolia
2312,16SrI B,plant,Mexico,Arratia-Castro et al 2014,Rutaceae,Citrus sinensis
2313,16SrI ,plant,Brazil,Montano et al 2011,Nyctaginaceae,Bougainvillea spectabilis
2314,16SrI ,plant,Brazil,Montano et al 2011,Asteraceae,Conyza bonariensis
2315,16SrI ,plant,Brazil,Montano et al 2011,Arecaceae,Elaeis guineensis
2316,16SrI ,plant,Brazil,Montano et al 2011,Passifloraceae,Passiflora edulis
2317,16SrI B,plant,Brazil,Silva et al 2009,Poaceae,Saccharum sp.
2318,16SrI B,plant,Brazil,Montano et al 2011,Vitaceae,Vitis vinifera
2319,16SrII ,plant,Brazil,Montano et al 2011,Apocynaceae,Catharanthus roseus
2320,16SrIII ,plant,Brazil,Montano et al 2011,Begoniaceae,Begonia sp.
2321,16SrIII ,plant,Brazil,Montano et al 2011,Brassicaceae,Brassica oleracea
2322,16SrIII ,plant,Brazil,Montano et al 2011,Apocynaceae,Catharanthus roseus
2323,16SrIII B,plant,Brazil,Montano et al 2011,Fabaceae,Crotalaria juncea
2324,16SrIII J,plant,Brazil,Montano et al 2011,Cucurbitaceae,Cucurbita moschata
2325,16SrIII ,plant,Brazil,Montano et al 2011,Cucurbitaceae,Cucurbita pepo
2326,16SrIII ,plant,Brazil,Montano et al 2011,Euphorbiaceae,Euphorbia pulcherrima
2327,16SrIII ,plant,Brazil,Montano et al 2011,Asteraceae,Helychrisum bracteatum
2328,16SrIII ,plant,Brazil,Montano et al 2011,Lamiaceae,Leonurus sibiricus
2329,16SrIII ,plant,Brazil,Montano et al 2011,Cucurbitaceae,Luffa cylindrica
2330,16SrIII ,plant,Brazil,Montano et al 2011,Rosaceae,Malus domestica
2331,16SrIII ,plant,Brazil,Montano et al 2011,Cucurbitaceae,Sicana odorifera
2332,16SrIII B,plant,Brazil,Montano et al 2011,Meliaceae,Melia azedarach
2333,16SrIII ,plant,Brazil,Montano et al 2011,Asteraceae,Solidago microglossa
2334,16SrIII ,plant,Brazil,Montano et al 2011,Vitaceae,Vitis vinifera
2335,16SrV ,plant,Brazil,Montano et al 2011,Fabaceae,Crotalaria juncea
2336,16SrIX ,plant,Brazil,Montano et al 2011,Apocynaceae,Catharanthus roseus
2337,16SrIX ,plant,Brazil,Montano et al 2011,Rutaceae,Citrus sinensis
2338,16SrIX ,plant,Brazil,Montano et al 2011,Fabaceae,Crotalaria juncea
2339,16SrXII ,plant,Brazil,Montano et al 2011,Malvaceae,Hibiscus rosa-sinensis
2340,16SrXIII ,plant,Brazil,Montano et al 2011,Passifloraceae,Turnera ulmifolia
2341,16SrXV A,plant,Brazil,Montano et al 2011,Apocynaceae,Catharanthus roseus
2342,16SrXV ,plant,Brazil,Montano et al 2011,Malvaceae,Sida sp.
2343,16SrII A,plant,Australia,Gopurenko et al 2016,Fabaceae,Medicago sativa
2344,16SrIV C,plant,Mozambique,Bila et al 2014,Arecaceae,Cocos nucifera
2345,16SrXXI ,plant,Mozambique,Bila et al 2014,Arecaceae,Cocos nucifera
2346,16SrXXII A,plant,Mozambique,Bila et al 2015,Arecaceae,Borassus aethiopum
2347,16SrXXII A,plant,Mozambique,Bila et al 2015,Arecaceae,Elaeis guineensis
2348,16SrV ,plant,Germany,Lederer & Seemüller 1991,Betulaceae,Alnus glutinosa
2349,16SrV ,plant,Germany,Lederer & Seemüller 1991,Betulaceae,Alnus hirsuta
2350,16SrV ,plant,Germany,Lederer & Seemüller 1991,Betulaceae,Alnus rugosa
2351,16SrV ,plant,Germany,Lederer & Seemüller 1991,Betulaceae,Alnus subcordata
2352,16SrV ,plant,Germany,Lederer & Seemüller 1991,Betulaceae,Alnus tenuifolia
2353,16SrV ,plant,France,Lederer & Seemüller 1991,Betulaceae,Alnus viridis
2354,16SrXII A,plant,Auvergne,Sforza et al 1998,Convolvulaceae,Convolvulus arvensis
2355,16SrXII A,plant,Auvergne,Sforza et al 1998,Brassicaceae,Cardaria draba
2356,16SrXII A,plant,Auvergne,Sforza et al 1998,Rosaceae,Prunus avium
2357,16SrXII A,plant,Auvergne,Sforza et al 1998,Rosaceae,Prunus domestica
2358,16SrXII A,plant,Auvergne,Sforza et al 1998,Oleaceae,Syringa vulgaris
2359,16SrXII A,plant,Auvergne,Sforza et al 1998,Moraceae,Ficus carica
2360,16SrXII A,plant,Auvergne,Sforza et al 1998,Ulmaceae,Ulmus sp.
2361,16SrII B,plant,Australia,Gibb et al 1995,Convolvulaceae,Ipomoea batatas
2362,16SrII B,plant,Australia,Gibb et al 1995,Solanaceae,Solanum melongena
2363,16SrII B,plant,Australia,Gibb et al 1995,Fabaceae,Alysicarpus sp.
2364,16SrII B,plant,Australia,Gibb et al 1995,Passifloraceae,Passiflora foetida
2365,16SrII B,plant,Australia,Gibb et al 1995,Convolvulaceae,Evolvulus sp.
2366,16SrII B,plant,Australia,Gibb et al 1995,Amaranthaceae,Amaranthus sp.
2367,16SrXII A,plant,Champagne-Ardenne,Daire et al 1997,Vitaceae,Vitis vinifera
2368,16SrV ,plant,Aquitaine,Daire et al 1997,Vitaceae,Vitis vinifera
2369,16SrXII A,plant,Valais,Bourquin et al 2000,Vitaceae,Vitis vinifera
2370,16SrXII A,plant,Hungary,Kolber et al 1997,Vitaceae,Vitis vinifera
2371,16SrXII A,plant,Hungary,Varga et al 2000,Vitaceae,Vitis vinifera
2372,16SrV ,plant,Hungary,Varga et al 2000,Vitaceae,Vitis vinifera
2373,16SrI B,plant,Hungary,Varga et al 2000,Vitaceae,Vitis vinifera
2374,16SrX B,plant,Hungary,Varga et al 2000,Vitaceae,Vitis vinifera
2375,16SrI C,plant,Hungary,Varga et al 2000,Vitaceae,Vitis vinifera
2376,16SrI ,plant,Liguria,Conti et al 1997,Plantaginaceae,Linaria sp.
2377,16SrI ,plant,Liguria,Conti et al 1997,Plantaginaceae,Plantago media
2378,16SrI ,plant,Liguria,Conti et al 1997,Rosaceae,Prunus spinosa
2379,16SrI ,plant,Liguria,Conti et al 1997,Rosaceae,Rubus fruticosus
2380,16SrI ,plant,Liguria,Conti et al 1997,Fabaceae,Spartium junceum
2381,16SrXII A,plant,Spain,Batlle & Lavina 1997,Vitaceae,Vitis vinifera
2382,16SrI ,plant,Croatia,Saric et al 1997,Vitaceae,Vitis vinifera
2383,16SrIII ,plant,Golan,Tanne & Orenstein 1997,Vitaceae,Vitis vinifera
2384,16SrI ,plant,Golan,Tanne & Orenstein 1997,Vitaceae,Vitis vinifera
2385,not characterized ,plant,Moldova,Marinesku et al 1991,Vitaceae,Vitis vinifera
2386,16SrI ,plant,Virginia,Beanland & Wolf 2003,Fabaceae,Trifolium repens
2387,16SrI ,plant,Virginia,Beanland & Wolf 2003,Fabaceae,Trifolium pratense
2388,16SrI ,plant,Virginia,Beanland & Wolf 2003,Fabaceae,Lespedeza virginica
2389,16SrI ,plant,Virginia,Beanland & Wolf 2003,Rosaceae,Prunus serotina
2390,16SrI ,plant,Virginia,Beanland & Wolf 2003,Ulmaceae,Ulmus sp.
2391,16SrIII ,plant,Virginia,Beanland & Wolf 2003,Vitaceae,Vitis sp.
2392,16SrIII ,plant,Virginia,Beanland & Wolf 2003,Platanaceae,Platanus occidentalis
2393,16SrI C,plant,Italy,d'Ascenzo et at 2003,Vitaceae,Vitis vinifera
2394,16SrXII A,plant,Slovenia,Petrovic et al 2003,Vitaceae,Vitis vinifera
2395,16SrI B,plant,Tunisia,Mhirsi et al 2004,Vitaceae,Vitis vinifera
2396,16SrV ,plant,Switzerland,Gugerli et al 2006,Vitaceae,Vitis vinifera
2397,16SrXII A,plant,Switzerland,Gugerli et al 2006,Vitaceae,Vitis vinifera
2398,16SrXII A,plant,Veneto,Filippin et al 2009b,Urticaceae,Parietaria officinalis
2399,16SrXII A,plant,Veneto,Filippin et al 2009b,Convolvulaceae,Calystegia sepium
2400,16SrXII A,plant,Veneto,Filippin et al 2009b,Convolvulaceae,Convolvulus arvensis
2401,16SrXII A,plant,Veneto,Filippin et al 2009b,Urticaceae,Urtica dioica
2402,16SrXII A,plant,Veneto,Filippin et al 2009b,Caprifoliaceae,Sambucus nigra
2403,16SrV ,plant,Cataluña,Lavina et al 1996,Vitaceae,Vitis vinifera
2404,16SrII ,plant,Golan,Dafny-Yelin et al 2012,Convolvulaceae,Convolvulus arvensis
2405,16SrII ,plant,Golan,Dafny-Yelin et al 2012,Lamiaceae,Vitex agnus-castus
2406,tested negative,plant,Golan,Dafny-Yelin et al 2012,Rosaceae,Crataegus azarolus
2407,tested negative,plant,Golan,Dafny-Yelin et al 2012,Polygonaceae,Polygomun equistiforme
2408,tested negative,plant,Golan,Dafny-Yelin et al 2012,Rosaceae,Rosa canina
2409,16SrVI ,plant,Golan,Weintraub et al 2007,Ranunculaceae,Anemone sp.
2410,16SrVI ,plant,Golan,Weintraub et al 2007,Apocynaceae,Catharanthus roseus
2411,16SrI ,plant,Golan,Weintraub et al 2007,Amaranthaceae,Celosia sp.
2412,16SrIII ,plant,Golan,Weintraub et al 2007,Amaranthaceae,Celosia sp.
2413,16SrVI ,plant,Golan,Weintraub et al 2007,Asteraceae,Cosmos sp.
2414,16SrXII A,plant,Golan,Weintraub et al 2007,Primulaceae,Cyclamen sp.
